[2023-10-18 12:50:34,940 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 01: Verify Register link is displayed
[2023-10-18 12:50:35,103 INFO com.nopcommerce.users.Level_16_Log] - ------------------ FAILED ------------------
[2023-10-18 12:50:35,104 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 02: Click To Register Link
[2023-10-18 12:50:36,364 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 03: Click Register Button
[2023-10-18 12:50:36,676 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 04: Verify error message at FirtName Textbox
[2023-10-18 12:50:36,757 INFO com.nopcommerce.users.Level_16_Log] - ------------------ FAILED ------------------
[2023-10-18 12:50:36,758 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 05: Verify error message at Email Textbox
[2023-10-18 12:50:36,819 INFO com.nopcommerce.users.Level_16_Log] - ------------------ PASSED ------------------
[2023-10-18 12:50:36,819 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 06: Enter to FirstName Textbox
[2023-10-18 12:50:36,885 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 07: Enter to LastName Textbox
[2023-10-18 12:50:36,944 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 08: Enter to Email Textbox
[2023-10-18 12:50:37,014 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 09: Enter to Password Textbox
[2023-10-18 12:50:37,062 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 10: Enter to ConfirmPassword Textbox
[2023-10-18 12:50:37,109 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 11: Click Register Button
[2023-10-18 12:50:37,835 INFO com.nopcommerce.users.Level_16_Log] - User_01 - Step 12: Verify success message register is displayed
[2023-10-18 12:50:37,913 INFO com.nopcommerce.users.Level_16_Log] - ------------------ FAILED ------------------
